A515,ACE INA Insurance
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A685,Pilot Insurance Company
A695,PMI Mortgage Insurance Company Canada
A700,Pool Insurance Company
A710,Portage la Prairie Mutual Insurance Company (The)
A085,Primmum Insurance Company
A720,Quebec Assurance Company
A393,RBC General Insurance Company
A865,RBC Insurance Company of Canada
A735,Royal & Sun Alliance Insurance Company of Canada
A807,S&Y Insurance Company
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
A090,Scotia General Insurance Company
A751,Scottish & York Insurance Co. Limited
A748,SecuriCan General Insurance Company
A760,Security National Insurance Company
A770,Sovereign General Insurance Company (The)
A525,Suecia Reinsurance Company
A635,TD Direct Insurance Inc.
A045,TD General Insurance Company
A717,TD Home and Auto Insurance Company
A450,Temple Insurance Company
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
A555,Travelers Guarantee Company of Canada
A834,Trisura Guarantee Insurance Company
A835,Unifund Assurance Company
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A920,Western Surety Company
A935,Zenith Insurance Company
D028,Affiliated FM Insurance Company
D655,Alea Europe Ltd
D037,Allianz Global Risks US Insurance Company
D042,Allstate Insurance Company
D010,American Agricultural Insurance Company
D056,American Bankers Insurance Company of Florida
D077,American Home Assurance Company
D112,American Road Insurance Company (The)
D124,Arch Insurance Company
D130,Aspen Insurance UK Limited
D136,Associated Electric & Gas Insurance Services Limited
D137,Atradius Credit Insurance N.V.
D138,Avemco Insurance Company
C020,Aviation & General Insurance Company Limited
C060,Aviva International Insurance Limited
D141,AXIS Reinsurance Company (Canadian Branch)
D150,Berkley Insurance Company
C040,British Aviation Insurance Company Limited (The)
D165,Caisse Centrale de Réassurance
D178,Cardif-Assurances Risques Divers
C285,Cavell Insurance Company Limited
D182,Centennial Insurance Company
D196,Chicago Title Insurance Company
D203,Chrysler Insurance Company
D122,COLISEE RE
D309,Compagnie Française d'Assurance pour le Commerce Extérieur
D224,Continental Casualty Company
D235,Converium Reinsurance (North America) Inc.
C100,Eagle Star Insurance Company Limited
C110,Ecclesiastical Insurance Office Public Limited Company
D242,Electric Insurance Company
D259,Employers Insurance Company of Wausau
D270,Endurance Reinsurance Corporation of America
D063,Euler Hermes American Credit Indemnity Company
D626,Everest Reinsurance Company
D035,Factory Mutual Insurance Company
D273,Federal Insurance Company
D290,First American Title Insurance Company
D329,General Reinsurance Corporation
D343,Great American Insurance Company
D098,Great American Insurance Company of New York
D345,Hannover Rückversicherung AG
D350,Hanover Insurance Company (The)
D357,Hartford Fire Insurance Company
D420,ICAROM Public Limited Company
D630,Insurance Corporation of New York (The)
D422,Jewelers Mutual Insurance Company
D427,Lawyers Title Insurance Corporation
D441,Liberty Mutual Insurance Company
C180,Lloyd's Underwriters
D455,Lumbermen's Underwriting Alliance
D448,Lumbermens Mutual Casualty Company
D456,Mapfre Re Compania de Reaseguros S.A.
D754,Mitsui Sumitomo Insurance Company Limited
D490,Motors Insurance Corporation
D105,Munich Reinsurance America Inc.
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
C240,New India Assurance Company Limited (The)
D533,NIPPONKOA Insurance Company Limited
D556,North American Specialty Insurance Company
C440,NRG Victory Reinsurance Limited
D778,Odyssey America Reinsurance Corporation
D578,PARIS RE
D581,Partner Reinsurance Europe Limited
D714,PartnerRe SA
C310,Pearl Assurance Public Limited Company
D602,Pohjola Non-Life Insurance Company Ltd.
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
D616,Providence Washington Insurance Company
D667,Safety National Casualty Corporation
D819,Seaton Insurance Company
D686,Security Insurance Company of Hartford
D700,Sentry Insurance a Mutual Company
D872,Sompo Japan Insurance Inc.
D672,St. Paul Fire and Marine Insurance Company
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
D756,Swiss Reinsurance Company Ltd
D765,T.H.E. Insurance Company
C425,Terra Nova Insurance Company Limited
D777,TIG Insurance Company
D779,Toa Reinsurance Company of America (The)
D770,Tokio Marine & Nichido Fire Insurance Co. Ltd.
D780,Transatlantic Reinsurance Company
D803,Triton Insurance Company
D528,UAP-NewRotterdam Insurance Company N.V.
D861,Utica Mutual Insurance Company
D862,Virginia Surety Company Inc.
D266,Westport Insurance Corporation
D305,White Mountains Reinsurance Company of America
D871,XL Insurance Company Limited
D546,XL Reinsurance America Inc.
D875,Zürich Versicherung-Gesellschaft
