Code,Name of Company
A630,North Waterloo Farmers Mutual Insurance Company (The)
A635,TD Direct Insurance Inc.
A636,Old Republic Insurance Company of Canada
A637,Everest Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A700,Pool Insurance Company
A710,Portage la Prairie Mutual Insurance Company (The)
A717,TD Home and Auto Insurance Company
A720,Quebec Assurance Company
A735,Royal & Sun Alliance Insurance Company of Canada
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
A748,SecuriCan General Insurance Company
A760,Security National Insurance Company
A770,Sovereign General Insurance Company (The)
A805,Granite Insurance Company
A807,S&Y Insurance Company
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
A835,Unifund Assurance Company
A865,RBC Travel Insurance Company
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A920,Western Surety Company
A935,Zenith Insurance Company
A999,Canadian Total
T035,Green Shield Canada
B999,Foreign Total
C020,Aviation & General Insurance Company Limited
C040,British Aviation Insurance Company Limited (The)
C060,CGU International Insurance plc
C100,Eagle Star Insurance Company Limited
C110,Ecclesiastical Insurance Office Public Limited Company
C180,Lloyd's Underwriters
C240,"New India Assurance Company, Limited (The)"
C285,Cavell Insurance Company Limited
C310,Pearl Assurance Public Limited Company
C425,Terra Nova Insurance Company Limited
C440,NRG Victory Reinsurance Limited
D010,American Agricultural Insurance Company
D028,Affiliated FM Insurance Company
D035,Factory Mutual Insurance Company
D037,Allianz Global Risks US Insurance Company
D042,Allstate Insurance Company
D056,American Bankers Insurance Company of Florida
D063,EULER American Credit Indemnity Company
D077,American Home Assurance Company
D098,Great American Insurance Company of New York
D105,American Re-Insurance Company
D112,American Road Insurance Company (The)
D122,AXA RE
D130,Aspen Insurance UK Limited
D138,Avemco Insurance Company
D139,AXA Corporate Solutions Assurance
D165,Caisse Centrale de Réassurance
D168,Specialty National Insurance Company
D182,Centennial Insurance Company
D196,Chicago Title Insurance Company
D203,DaimlerChrysler Insurance Company
D205,Cologne Reinsurance Company
D224,Continental Casualty Company
D235,Converium Reinsurance (North America) Inc.
D259,Employers Insurance Company of Wausau
D266,Employers Reinsurance Corporation
D270,Endurance Reinsurance Corporation of America
D273,Federal Insurance Company
D290,First American Title Insurance Company
D305,Folksamerica Reinsurance Company
D329,General Reinsurance Corporation
D336,SCOR Reinsurance Company
D343,Great American Insurance Company
D345,Hannover Rückversicherung AG
D350,Hanover Insurance Company (The)
D357,Hartford Fire Insurance Company
D378,Highlands Insurance Company
D420,ICAROM Public Limited Company
D427,Lawyers Title Insurance Corporation
D430,"XL Re Europe, Canada Branch"
D434,Liberty Mutual Fire Insurance Company
D441,Liberty Mutual Insurance Company
D448,Lumbermens Mutual Casualty Company
D455,Lumbermen's Underwriting Alliance
D457,Mapfre Reinsurance Corporation
D490,Motors Insurance Corporation
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
D515,NCMIC Insurance Company
D518,Nederlandse Reassurantie Groep N.V.
D528,UAP-NewRotterdam Insurance Company N.V.
D533,"NIPPONKOA Insurance Company, Limited"
D546,XL Reinsurance America Inc.
D556,North American Specialty Insurance Company
D591,Philadelphia Reinsurance Corporation
D602,Pohjola Non-Life Insurance Company Ltd.
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
D616,Providence Washington Insurance Company
D626,Everest Reinsurance Company
D630,Insurance Corporation of New York (The)
D655,Alea Europe Ltd
D672,St. Paul Fire and Marine Insurance Company
D686,Security Insurance Company of Hartford
D700,Sentry Insurance a Mutual Company
D714,PartnerRe SA
D727,Sorema North America Reinsurance Company
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
D754,"Mitsui Sumitomo Insurance Company, Limited"
D756,Swiss Reinsurance Company
D765,T.H.E. Insurance Company
D770,"Tokio Marine & Nichido Fire Insurance Co., Ltd."
D777,TIG Insurance Company
D778,Odyssey America Reinsurance Corporation
D779,Toa Reinsurance Company of America (The)
D780,Transatlantic Reinsurance Company
D798,Travelers Indemnity Company (The)
D819,Seaton Insurance Company
D840,United States Fidelity and Guaranty Company
D861,Utica Mutual Insurance Company
D862,"Virginia Surety Company, Inc."
D871,XL Insurance Company Limited
D872,Sompo Japan Insurance Inc.
D875,Zurich Insurance Company
