Code,Name of Company
B999,Total Foreign P+C
C060,Aviva International Insurance Limited
C110,Ecclesiastical Insurance Office Public Limited Company
C180,Lloyd's Underwriters
C240,"New India Assurance Company, Limited (The)"
C285,Cavell Insurance Company Limited
C440,NRG Victory Reinsurance Limited
D010,American Agricultural Insurance Company
D028,Affiliated FM Insurance Company
D035,Factory Mutual Insurance Company
D037,Allianz Global Risks US Insurance Company
D042,Allstate Insurance Company
D056,American Bankers Insurance Company of Florida
D063,Euler Hermes American Credit Indemnity Company
D105,"Munich Reinsurance America, Inc."
D112,American Road Insurance Company (The)
D122,COLISEE RE
D124,Arch Insurance Company
D130,Aspen Insurance UK Limited
D136,Associated Electric & Gas Insurance Services Limited
D137,Atradius Credit Insurance N.V.
D141,AXIS Reinsurance Company (Canadian Branch)
D150,Berkley Insurance Company
D165,Caisse Centrale de RÇassurance
D194,Cherokee Insurance Company
D196,Chicago Title Insurance Company
D203,CorePointe Insurance Company
D224,Continental Casualty Company
D235,Converium Reinsurance (North America) Inc.
D242,Electric Insurance Company
D259,Employers Insurance Company of Wausau
D266,Westport Insurance Corporation
D270,Endurance Reinsurance Corporation of America
D273,Federal Insurance Company
D290,First American Title Insurance Company
D305,Sirius America Insurance Company
D309,Compagnie Franáaise d'Assurance pour le Commerce ExtÇrieur
D329,General Reinsurance Corporation
D343,Great American Insurance Company
D344,Gan Eurocourtage
D345,Hannover RÅckversicherung AG
D350,Hanover Insurance Company (The)
D357,Hartford Fire Insurance Company
D369,"HDI-Gerling Industrie Versicherung AG, Canada Branch"
D416,International Insurance Company of Hannover Limited
D420,ICAROM Public Limited Company
D422,Jewelers Mutual Insurance Company
D427,Fidelity National Title Insurance Company
D441,Liberty Mutual Insurance Company
D455,Lumbermen's Underwriting Alliance
D456,"Mapfre Re Compania de Reaseguros, S.A."
D490,Motors Insurance Corporation
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
D533,"NIPPONKOA Insurance Company, Limited"
D546,XL Reinsurance America Inc.
D580,Partner Reinsurance Company of the U.S.
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
D626,Everest Reinsurance Company
D655,Alea (Bermuda) Ltd.
D667,Safety National Casualty Corporation
D672,St. Paul Fire and Marine Insurance Company
D686,Security Insurance Company of Hartford
D700,Sentry Insurance a Mutual Company
D703,Shipowners' Mutual Protection and Indemnity Association (The)
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
D754,"Mitsui Sumitomo Insurance Company, Limited"
D755,Sunderland Marine Mutual Insurance Company Limited
D756,Swiss Reinsurance Company Ltd
D765,T.H.E. Insurance Company
D770,"Tokio Marine & Nichido Fire Insurance Co., Ltd."
D777,TIG Insurance Company
D778,Odyssey Reinsurance Company
D779,Toa Reinsurance Company of America (The)
D780,Transatlantic Reinsurance Company
D803,Triton Insurance Company
D861,Utica Mutual Insurance Company
D862,"Virginia Surety Company, Inc."
D871,XL Insurance Company Limited
D872,Sompo Japan Insurance Inc.
D875,Zurich Insurance Company Ltd
D900,Darwin National Assurance Company
T035,Green Shield Canada
