Code,Name of Company
A590,Mortgage Insurance Company of Canada (The)
A600,Munich Reinsurance Company of Canada (Reinsurer)
A615,"Northern Indemnity, Inc."
A630,North Waterloo Farmers Mutual Insurance Company (The)
A635,TD Direct Insurance Inc.
A636,Old Republic Insurance Company of Canada
A637,Everest Insurance Company of Canada
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A700,Pool Insurance Company
A710,Portage la Prairie Mutual Insurance Company (The)
A717,Liberty Insurance Company of Canada
A720,Quebec Assurance Company
A735,Royal & Sun Alliance Insurance Company of Canada
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company (Reinsurer)
A760,Security National Insurance Company
A770,Sovereign General Insurance Company (The)
A805,Granite Insurance Company
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
A835,Unifund Assurance Company
A865,RBC Travel Insurance Company
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A920,Western Surety Company
A935,Zenith Insurance Company
A999,Total - canadiens
B999,Total - étrangers
C020,Aviation & General Insurance Company Limited
C040,British Aviation Insurance Company Limited (The)
C060,CGU International Insurance plc
C100,Eagle Star Insurance Company Limited
C110,Ecclesiastical Insurance Office Public Limited Company
C180,Lloyd's Underwriters
C210,Maritime Insurance Company Limited
C240,"New India Assurance Company, Limited (The)"
C285,Cavell Insurance Company Limited (Reinsurer)
C310,Pearl Assurance Public Limited Company
C425,Terra Nova Insurance Company Limited (Reinsurer)
C440,NRG Victory Reinsurance Limited (Reinsurer)
D010,American Agricultural Insurance Company (Reinsurer)
D028,Affiliated FM Insurance Company
D035,Factory Mutual Insurance Company
D042,Allstate Insurance Company
D049,Alpina Insurance Company Limited
D056,American Bankers Insurance Company of Florida
D063,EULER American Credit Indemnity Company
D077,American Home Assurance Company
D098,Great American Insurance Company of New York
D105,American Re-Insurance Company
D112,American Road Insurance Company (The)
D122,AXA RE (Reinsurer)
D138,Avemco Insurance Company
D139,AXA Corporate Solutions Assurance
D165,Caisse Centrale de Réassurance (Reinsurer)
D168,Specialty National Insurance Company
D182,Centennial Insurance Company
D196,Chicago Title Insurance Company
D203,DaimlerChrysler Insurance Company
D205,Cologne Reinsurance Company (Reinsurer)
D224,Continental Casualty Company
D245,Associates Insurance Company
D259,Employers Insurance Company of Wausau
D266,Employers Reinsurance Corporation
D273,Federal Insurance Company
D290,First American Title Insurance Company
D305,Folksamerica Reinsurance Company (Reinsurer)
D310,GE Frankona Rückversicherungs-Aktiengesellschaft (Reinsurer)
D329,General Reinsurance Corporation
D336,SCOR Reinsurance Company (Reinsurer)
D343,Great American Insurance Company
D345,Hannover Ruckversicherungs-Aktiengesellschaft (Reinsurer)
D350,Hanover Insurance Company (The)
D357,Hartford Fire Insurance Company (The)
D378,Highlands Insurance Company
D385,Home Insurance Company (The)
D420,ICAROM Public Limited Company
D425,GE Reinsurance Corporation (Reinsurer)
D427,Lawyers Title Insurance Corporation
D430,Le Mans Ré (Reinsurer)
D434,Liberty Mutual Fire Insurance Company
D441,Liberty Mutual Insurance Company
D448,Lumbermens Mutual Casualty Company
D455,Lumbermen's Underwriting Alliance
D462,Maryland Casualty Company
D490,Motors Insurance Corporation
D497,Munich Reinsurance Company (Reinsurer)
D507,National Reinsurance Corporation (Reinsurer)
D511,Nationwide Mutual Insurance Company
D518,Nederlandse Reassurantie Groep N.V. (Reinsurer)
D525,New Hampshire Insurance Company
D528,UAP-NewRotterdam Insurance Company N.V.
D533,"NIPPONKOA Insurance Company, Limited"
D539,Nordisk Reinsurance Company A/S (Reinsurer)
D546,XL Reinsurance America Inc.
D556,North American Specialty Insurance Company
D591,Philadelphia Reinsurance Corporation (Reinsurer)
D602,Pohjola Non-Life Insurance Company Ltd. (Reinsurer)
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
D616,Providence Washington Insurance Company
D626,Everest Reinsurance Company (Reinsurer)
D630,Insurance Corporation of New York (The) (Reinsurer)
D655,Alea Europe Ltd (Reinsurer)
D672,St. Paul Fire and Marine Insurance Company
D686,Security Insurance Company of Hartford
D700,Sentry Insurance a Mutual Company
D707,Skandia Insurance Company Ltd.
D714,PartnerRe SA (Reinsurer)
D727,Sorema North America Reinsurance Company (Reinsurer)
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
D754,"Mitsui Sumitomo Insurance Company, Limited"
D756,Swiss Reinsurance Company (Reinsurer)
D765,T.H.E. Insurance Company
D770,"Tokio Marine and Fire Insurance Company, Limited (The)"
D777,TIG Insurance Company
D778,Odyssey America Reinsurance Corporation (Reinsurer)
D779,Toa Reinsurance Company of America (The) (Reinsurer)
D780,Transatlantic Reinsurance Company (Reinsurer)
D798,Travelers Indemnity Company (The)
D819,Seaton Insurance Company
D826,Swiss Re Italia S.p.A. (Reinsurer)
D840,United States Fidelity and Guaranty Company
D861,Utica Mutual Insurance Company
D862,Combined Specialty Insurance Company
D872,Sompo Japan Insurance Inc.
D875,Zurich Insurance Company
T035,Green Shield Canada
