Code,Company
A710,Portage la Prairie Mutual Insurance Company (The)
A085,Primmum Insurance Company
A720,Quebec Assurance Company
A393,RBC General Insurance Company
A865,RBC Insurance Company of Canada
A735,Royal & Sun Alliance Insurance Company of Canada
A807,S&Y Insurance Company
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
A090,Scotia General Insurance Company
A751,Scottish & York Insurance Co. Limited
A760,Security National Insurance Company
A770,Sovereign General Insurance Company (The)
A525,Suecia Reinsurance Company
A635,TD Direct Insurance Inc.
A045,TD General Insurance Company
A717,TD Home and Auto Insurance Company
A450,Temple Insurance Company
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
A555,Travelers Insurance Company of Canada
A834,Trisura Guarantee Insurance Company
A835,Unifund Assurance Company
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A748,Western Financial Insurance Company
A920,Western Surety Company
A430,Wynward Insurance Group
A935,Zenith Insurance Company
,
D028,Affiliated FM Insurance Company
D655,Alea (Bermuda) Ltd.
D037,Allianz Global Risks US Insurance Company
D042,Allstate Insurance Company
D010,American Agricultural Insurance Company
D056,American Bankers Insurance Company of Florida
D112,American Road Insurance Company (The)
D124,Arch Insurance Company
D130,Aspen Insurance UK Limited
D136,Associated Electric & Gas Insurance Services Limited
D137,Atradius Credit Insurance N.V.
D142,AXA Art Insurance Corporation
D141,AXIS Reinsurance Company (Canadian Branch)
D150,Berkley Insurance Company
D165,Caisse Centrale de Réassurance
D194,Cherokee Insurance Company
D196,Chicago Title Insurance Company
D122,COLISEE RE
D309,Compagnie Française d'Assurance pour le Commerce Extérieur
D224,Continental Casualty Company
D235,Converium Reinsurance (North America) Inc.
D203,CorePointe Insurance Company
D900,Darwin National Assurance Company
C110,Ecclesiastical Insurance Office Public Limited Company
D242,Electric Insurance Company
D259,Employers Insurance Company of Wausau
D063,Euler Hermes North America Insurance Company
D626,Everest Reinsurance Company
D035,Factory Mutual Insurance Company
D273,Federal Insurance Company
D290,First American Title Insurance Company
D329,General Reinsurance Corporation
D343,Great American Insurance Company
D344,Groupama S.A.
D345,Hannover Rück SE
D357,Hartford Fire Insurance Company
D369,"HDI-Gerling Industrie Versicherung AG, Canada Branch"
D416,International Insurance Company of Hannover Plc
D418,Ironshore Insurance Ltd.
D422,Jewelers Mutual Insurance Company
D441,Liberty Mutual Insurance Company
C180,Lloyd's Underwriters
D455,Lumbermen's Underwriting Alliance
D456,"Mapfre Re Compania de Reaseguros, S.A."
D754,"Mitsui Sumitomo Insurance Company, Limited"
D490,Motors Insurance Corporation
D105,"Munich Reinsurance America, Inc."
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
C240,"New India Assurance Company, Limited (The)"
D533,"NIPPONKOA Insurance Company, Limited"
D778,Odyssey Reinsurance Company
D580,Partner Reinsurance Company of the U.S.
D608,Progressive Casualty Insurance Company
D612,Protective Insurance Company
D667,Safety National Casualty Corporation
D686,Security Insurance Company of Hartford
D700,Sentry Insurance a Mutual Company
D703,Shipowners' Mutual Protection and Indemnity Association (The)
D305,Sirius America Insurance Company
D872,Sompo Japan Insurance Inc.
D672,St. Paul Fire and Marine Insurance Company
D726,Starr Insurance & Reinsurance Limited
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
D755,Sunderland Marine Mutual Insurance Company Limited
D756,Swiss Reinsurance Company Ltd
D765,T.H.E. Insurance Company
D777,TIG Insurance Company
D779,Toa Reinsurance Company of America (The)
D770,"Tokio Marine & Nichido Fire Insurance Co., Ltd."
D780,Transatlantic Reinsurance Company
D803,Triton Insurance Company
D861,Utica Mutual Insurance Company
D862,"Virginia Surety Company, Inc."
D266,Westport Insurance Corporation
D871,XL Insurance Company Limited
D546,XL Reinsurance America Inc.
D875,Zurich Insurance Company Ltd
